backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,bacon,bposd,17,3,1000,si1000,0.015,0.486,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,si1000,0.005,0.030,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,si1000,0.005,0.070,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,si1000,0.015,0.500,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,si1000,0.005,0.050,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,si1000,0.005,0.120,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,si1000,0.005,0.100,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,si1000,0.015,0.467,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,si1000,0.015,0.495,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,si1000,0.015,0.501,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,si1000,0.005,0.004,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,si1000,0.005,0.006,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,si1000,0.01,0.511,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,si1000,0.005,0.001,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,si1000,0.01,0.502,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,si1000,0.01,0.471,N/A,N/A,N/A
custom_full,400,color,bposd,13,3,1000,si1000,0.005,0.003,N/A,N/A,N/A
custom_full,450,color,bposd,13,3,1000,si1000,0.005,0.005,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,si1000,0.01,0.482,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,si1000,0.01,0.460,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,si1000,0.005,0.000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,si1000,0.01,0.920,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,si1000,0.01,0.940,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,si1000,0.01,0.940,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,si1000,0.01,0.910,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,si1000,0.01,0.108,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,si1000,0.015,1.000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,si1000,0.01,0.960,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,si1000,0.015,1.000,N/A,N/A,N/A
custom_full,500,color,bposd,15,3,1000,si1000,0.005,0.001,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,si1000,0.015,1.000,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,si1000,0.01,0.121,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,si1000,0.005,0.001,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,si1000,0.015,1.000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,si1000,0.01,0.061,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,si1000,0.015,1.000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,si1000,0.015,0.276,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,si1000,0.005,0.000,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,si1000,0.015,0.333,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,si1000,0.015,0.339,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,si1000,0.01,0.062,N/A,N/A,N/A
