backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,400,steane,bposd,9,3,1000,modsi1000,0.005,0.140,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,modsi1000,0.005,0.155,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,modsi1000,0.005,0.144,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,modsi1000,0.005,0.157,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,modsi1000,0.005,0.127,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,modsi1000,0.01,0.225,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,modsi1000,0.01,0.270,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,modsi1000,0.01,0.255,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,modsi1000,0.01,0.244,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,modsi1000,0.01,0.231,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,modsi1000,0.01,0.504,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,modsi1000,0.01,0.486,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,modsi1000,0.01,0.487,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,modsi1000,0.01,0.489,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,modsi1000,0.005,0.440,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,modsi1000,0.005,0.429,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,modsi1000,0.01,0.490,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,modsi1000,0.005,0.433,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,modsi1000,0.005,0.023,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,modsi1000,0.005,0.479,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,modsi1000,0.005,0.458,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,modsi1000,0.01,0.296,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,modsi1000,0.005,0.026,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,modsi1000,0.005,0.273,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,modsi1000,0.005,0.267,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,modsi1000,0.005,0.296,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,modsi1000,0.01,0.526,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,modsi1000,0.01,0.476,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,modsi1000,0.01,0.497,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,modsi1000,0.01,0.291,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,modsi1000,0.005,0.018,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,modsi1000,0.01,0.304,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,modsi1000,0.005,0.138,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,modsi1000,0.005,0.127,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,modsi1000,0.005,0.020,N/A,N/A,N/A
custom_full,450,hh,bposd,13,3,1000,modsi1000,0.005,0.284,N/A,N/A,N/A
custom_full,500,hh,bposd,13,3,1000,modsi1000,0.005,0.313,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,modsi1000,0.01,0.452,N/A,N/A,N/A
custom_full,500,hh,bposd,13,3,1000,modsi1000,0.01,0.514,N/A,N/A,N/A
custom_full,450,hh,bposd,13,3,1000,modsi1000,0.01,0.489,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,modsi1000,0.01,0.464,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,modsi1000,0.01,0.315,N/A,N/A,N/A
custom_full,500,surface,bposd,15,3,1000,modsi1000,0.005,0.013,N/A,N/A,N/A
custom_full,500,surface,bposd,15,3,1000,modsi1000,0.01,0.309,N/A,N/A,N/A
custom_full,450,color,bposd,13,3,1000,modsi1000,0.005,0.156,N/A,N/A,N/A
custom_full,400,color,bposd,13,3,1000,modsi1000,0.005,0.143,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,modsi1000,0.005,0.611,N/A,N/A,N/A
custom_full,450,color,bposd,13,3,1000,modsi1000,0.01,0.488,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,modsi1000,0.005,0.624,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,modsi1000,0.005,0.599,N/A,N/A,N/A
custom_full,400,color,bposd,13,3,1000,modsi1000,0.01,0.445,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,modsi1000,0.005,0.622,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,modsi1000,0.005,0.617,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,modsi1000,0.01,1.000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,modsi1000,0.01,1.000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,modsi1000,0.01,0.999,N/A,N/A,N/A
